Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,DRB%,Def_FT/FGA,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Orlando Magic,27.9,59.0,23.0,61,21,7.49,-0.37,7.12,111.4,103.3,8.1,92.0,0.34,0.35,0.573,0.536,13.6,24.6,0.246,0.477,12.2,77.4,0.205,82,19730,39.7,84.5,0.47,11.1,29.6,0.375,28.6,54.9,0.521,20.8,28.8,0.724,10.7,36.2,46.9,21.3,6.8,6.0,15.3,21.5,111.4,2010
Cleveland Cavaliers,28.0,61.0,21.0,59,23,6.52,-0.36,6.17,111.2,104.1,7.1,91.4,0.341,0.248,0.57,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218,82,19780,41.2,84.9,0.485,8.0,21.0,0.381,33.2,63.9,0.52,20.8,29.0,0.72,10.5,35.8,46.3,24.4,7.5,5.6,15.1,21.1,111.2,2010
Utah Jazz,25.6,53.0,29.0,55,27,5.34,-0.01,5.33,110.7,105.0,5.7,93.8,0.34,0.184,0.565,0.524,14.2,26.8,0.252,0.492,14.2,75.6,0.269,82,19755,41.8,85.1,0.491,5.7,15.6,0.364,36.1,69.5,0.519,21.4,28.9,0.741,11.3,33.5,44.8,28.3,8.7,5.2,16.1,24.1,110.7,2010
San Antonio Spurs,28.7,50.0,32.0,55,27,5.09,-0.02,5.07,110.0,104.5,5.5,91.7,0.296,0.232,0.552,0.515,12.9,26.8,0.219,0.483,12.1,76.3,0.214,82,19780,41.7,88.1,0.473,7.3,20.5,0.358,34.4,67.7,0.508,19.3,26.1,0.74,11.7,34.7,46.4,24.2,6.8,5.0,14.8,22.1,110.0,2010
Atlanta Hawks,26.5,53.0,29.0,54,28,4.66,-0.22,4.44,111.9,106.7,5.2,90.1,0.281,0.214,0.545,0.506,11.4,28.2,0.213,0.496,13.2,72.7,0.208,82,19855,42.7,91.2,0.468,7.0,19.5,0.36,35.6,71.7,0.497,19.5,25.7,0.759,13.0,32.9,45.9,24.0,7.9,5.5,13.1,21.9,111.9,2010
Phoenix Suns,28.5,54.0,28.0,54,28,4.9,-0.23,4.67,115.3,110.2,5.1,95.3,0.312,0.261,0.585,0.546,13.6,27.6,0.24,0.491,11.6,70.8,0.224,82,19730,42.6,86.6,0.492,9.3,22.6,0.412,33.3,64.0,0.52,20.8,27.0,0.77,11.6,33.4,45.0,24.4,6.1,5.3,15.4,21.9,115.3,2010
Los Angeles Lakers,28.4,57.0,25.0,54,28,4.72,0.06,4.78,108.8,103.7,5.1,92.8,0.289,0.227,0.538,0.496,12.4,27.6,0.221,0.484,13.2,74.4,0.195,82,19830,41.0,89.7,0.457,6.9,20.4,0.341,34.1,69.3,0.492,19.8,25.9,0.765,12.7,34.7,47.4,22.6,8.0,5.2,14.3,20.8,108.8,2010
Denver Nuggets,27.7,53.0,29.0,52,30,4.09,0.06,4.15,111.8,107.5,4.3,94.8,0.376,0.227,0.561,0.509,12.7,26.1,0.29,0.495,13.8,72.4,0.251,82,19780,40.0,85.5,0.468,7.0,19.4,0.359,33.0,66.1,0.5,24.8,32.1,0.772,11.4,32.1,43.5,22.0,8.7,5.3,14.5,23.6,111.8,2010
Boston Celtics,29.4,50.0,32.0,52,30,3.66,-0.29,3.37,107.7,103.8,3.9,91.6,0.332,0.228,0.564,0.522,14.5,22.8,0.248,0.487,14.9,73.8,0.251,82,19780,40.2,83.3,0.483,6.6,19.0,0.348,33.6,64.4,0.523,20.6,27.7,0.746,9.5,32.4,41.9,25.6,9.3,5.3,16.1,24.0,107.7,2010
Portland Trail Blazers,26.6,50.0,32.0,51,31,3.3,-0.13,3.18,110.8,107.1,3.7,87.7,0.315,0.215,0.547,0.499,12.1,28.2,0.249,0.502,13.3,74.8,0.219,82,19855,41.0,88.9,0.461,6.8,19.1,0.354,34.2,69.8,0.49,22.1,28.0,0.79,12.6,32.8,45.4,23.1,7.2,4.8,13.9,23.6,110.8,2010
