Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,DRB%,Def_FT/FGA,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Miami Heat,29.0,58.0,24.0,61,21,7.46,-0.71,6.76,111.7,103.5,8.2,90.9,0.363,0.235,0.573,0.524,13.5,25.2,0.279,0.475,12.6,75.5,0.223,82,19780,40.5,84.1,0.481,7.3,19.7,0.37,33.2,64.4,0.515,23.5,30.5,0.769,10.5,35.6,46.1,21.9,7.3,5.7,15.2,22.3,111.7,2011
Chicago Bulls,26.4,62.0,20.0,61,21,7.32,-0.79,6.53,108.3,100.3,8.0,90.4,0.305,0.215,0.541,0.501,13.5,29.4,0.227,0.463,13.6,76.2,0.222,82,19830,40.7,88.2,0.462,6.8,19.0,0.361,33.9,69.3,0.489,20.0,26.9,0.743,13.0,35.5,48.5,24.5,7.9,6.3,15.6,22.0,108.3,2011
Los Angeles Lakers,30.2,57.0,25.0,58,24,6.11,-0.1,6.01,111.0,104.3,6.7,90.7,0.293,0.22,0.545,0.502,12.3,29.2,0.228,0.477,12.8,72.3,0.181,82,19830,41.7,90.1,0.463,7.0,19.8,0.352,34.7,70.3,0.494,20.6,26.4,0.779,13.2,34.9,48.1,24.0,8.0,5.6,14.3,20.7,111.0,2011
San Antonio Spurs,28.8,61.0,21.0,56,26,5.71,0.16,5.86,111.8,105.6,6.2,92.3,0.299,0.261,0.567,0.527,12.8,24.9,0.229,0.491,12.6,74.6,0.19,82,19780,41.4,87.1,0.475,9.0,22.7,0.397,32.4,64.4,0.503,20.0,26.1,0.767,10.9,34.2,45.1,24.1,7.9,4.9,14.5,20.5,111.8,2011
Boston Celtics,29.5,56.0,26.0,57,25,5.37,-0.54,4.83,106.2,100.3,5.9,90.4,0.305,0.18,0.561,0.519,14.5,21.1,0.235,0.469,14.8,74.7,0.235,82,19780,40.6,83.5,0.486,5.5,15.0,0.365,35.1,68.5,0.513,19.6,25.4,0.77,8.6,34.1,42.7,25.8,9.1,4.6,16.0,22.5,106.2,2011
Orlando Magic,27.6,52.0,30.0,56,26,5.46,-0.54,4.92,107.9,102.0,5.9,91.2,0.328,0.328,0.554,0.521,14.3,26.1,0.227,0.475,13.3,76.9,0.219,82,19830,39.2,85.0,0.461,10.2,27.9,0.366,29.0,57.1,0.507,19.3,27.9,0.692,11.5,35.5,47.0,21.7,7.3,5.1,16.2,21.8,107.9,2011
Denver Nuggets,27.3,50.0,32.0,54,28,4.76,0.05,4.81,112.3,107.3,5.0,95.6,0.367,0.258,0.574,0.526,13.1,23.9,0.281,0.5,12.7,75.4,0.224,82,19705,40.1,84.3,0.476,8.4,21.7,0.388,31.6,62.6,0.506,23.7,31.0,0.765,10.1,33.8,43.9,23.1,7.7,4.5,14.7,21.9,112.3,2011
Dallas Mavericks,30.9,57.0,25.0,53,29,4.23,0.18,4.41,109.7,105.0,4.7,91.3,0.286,0.274,0.565,0.525,13.6,24.1,0.222,0.488,13.0,74.8,0.206,82,19705,40.9,86.2,0.475,8.6,23.6,0.365,32.3,62.6,0.516,19.2,24.7,0.777,10.4,34.9,45.3,26.1,7.4,4.7,15.3,21.0,109.7,2011
Oklahoma City Thunder,23.7,55.0,27.0,51,31,3.79,0.02,3.81,111.2,107.2,4.0,92.7,0.363,0.212,0.561,0.501,13.1,27.4,0.299,0.493,12.9,73.6,0.228,82,20005,39.7,85.5,0.464,6.3,18.2,0.347,33.4,67.4,0.495,25.6,31.1,0.823,11.7,33.7,45.4,21.6,8.5,6.3,15.0,23.8,111.2,2011
Memphis Grizzlies,25.2,46.0,36.0,48,34,2.34,0.2,2.55,107.6,105.1,2.5,91.9,0.291,0.136,0.534,0.493,13.0,28.9,0.218,0.502,15.7,72.5,0.228,82,19880,42.0,89.3,0.471,4.1,12.2,0.334,38.0,77.2,0.492,19.5,26.0,0.75,12.7,31.4,44.1,22.2,10.1,5.8,15.0,22.4,107.6,2011
Houston Rockets,26.5,43.0,39.0,47,35,2.18,0.19,2.37,111.3,109.0,2.3,94.2,0.299,0.264,0.55,0.503,12.3,27.4,0.239,0.5,12.6,72.7,0.219,82,19880,40.6,89.4,0.454,8.7,23.6,0.367,31.9,65.8,0.486,21.4,26.7,0.801,12.3,32.7,45.0,25.1,7.4,4.8,14.2,21.0,111.3,2011
Portland Trail Blazers,26.7,48.0,34.0,46,36,1.52,0.32,1.85,108.8,107.1,1.7,87.9,0.278,0.228,0.533,0.486,12.6,29.5,0.224,0.51,15.4,72.0,0.231,82,19805,40.7,91.0,0.447,7.1,20.7,0.345,33.5,70.2,0.477,20.3,25.3,0.804,13.7,30.7,44.5,23.9,9.1,4.9,14.7,21.8,108.8,2011
Philadelphia 76ers,24.7,41.0,41.0,45,37,1.5,-0.5,1.01,106.6,105.0,1.6,91.7,0.273,0.184,0.535,0.494,12.3,24.6,0.21,0.487,13.5,74.5,0.231,82,19930,41.0,89.0,0.461,5.8,16.4,0.355,35.2,72.6,0.485,18.7,24.3,0.77,11.2,33.9,45.0,24.4,8.2,4.7,14.0,20.9,106.6,2011
New Orleans Hornets,26.3,46.0,36.0,44,38,0.89,0.39,1.28,106.2,105.2,1.0,88.7,0.296,0.192,0.537,0.493,12.8,25.1,0.226,0.501,14.4,76.2,0.22,82,19830,40.2,87.5,0.459,6.1,16.8,0.36,34.1,70.7,0.482,19.8,25.9,0.765,11.2,33.7,44.9,23.1,8.5,4.9,14.6,23.5,106.2,2011
New York Knicks,25.3,42.0,40.0,43,39,0.78,-0.3,0.48,110.9,110.1,0.8,95.6,0.304,0.303,0.561,0.513,12.6,24.2,0.246,0.511,13.8,71.9,0.24,82,19780,39.9,87.2,0.457,9.7,26.4,0.368,30.2,60.8,0.496,21.4,26.5,0.809,10.8,31.4,42.1,22.3,7.9,6.0,14.3,22.1,110.9,2011
