Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,DRB%,Def_FT/FGA,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
San Antonio Spurs,28.9,62.0,20.0,61,21,7.72,0.28,8.0,110.5,102.4,8.1,95.0,0.24,0.257,0.571,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,82,19755,42.5,87.5,0.486,8.9,22.5,0.397,33.6,65.1,0.517,16.5,21.0,0.785,9.7,35.6,45.4,26.4,7.7,5.4,15.1,19.1,110.5,2014
Los Angeles Clippers,28.1,57.0,25.0,59,23,6.98,0.3,7.27,112.1,104.8,7.3,95.9,0.353,0.291,0.567,0.526,12.7,25.0,0.258,0.484,13.8,72.5,0.222,82,19755,40.6,85.6,0.474,8.8,24.9,0.352,31.8,60.7,0.525,22.0,30.2,0.73,10.9,33.8,44.6,25.5,8.9,5.0,14.4,22.4,112.1,2014
Oklahoma City Thunder,26.2,59.0,23.0,58,24,6.34,0.32,6.66,110.5,103.9,6.6,95.4,0.303,0.271,0.566,0.52,14.0,26.5,0.244,0.488,13.9,75.6,0.221,82,19805,40.6,86.1,0.471,8.4,23.3,0.361,32.1,62.8,0.512,21.0,26.1,0.806,11.3,35.3,46.6,22.8,8.6,6.4,15.9,23.6,110.5,2014
Miami Heat,30.6,54.0,28.0,54,28,4.76,-0.61,4.15,110.9,105.8,5.1,91.2,0.3,0.292,0.59,0.554,14.6,20.6,0.228,0.511,15.8,73.0,0.212,82,19880,41.6,83.0,0.501,8.8,24.2,0.364,32.8,58.8,0.558,18.9,24.9,0.76,8.3,31.7,40.0,24.4,9.7,4.9,16.0,21.1,110.9,2014
Golden State Warriors,26.3,51.0,31.0,54,28,4.8,0.34,5.15,107.5,102.6,4.9,96.2,0.247,0.291,0.55,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,82,19830,40.7,88.1,0.462,9.7,25.6,0.38,31.0,62.5,0.496,16.4,21.8,0.753,11.3,35.5,46.7,24.0,8.1,5.1,15.7,22.4,107.5,2014
Indiana Pacers,27.2,56.0,26.0,54,28,4.4,-0.77,3.63,104.1,99.3,4.8,92.5,0.29,0.235,0.535,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197,82,19780,38.7,86.2,0.449,7.2,20.2,0.357,31.5,66.0,0.477,19.5,25.0,0.779,10.9,37.1,48.1,21.7,7.2,5.9,16.2,22.0,104.1,2014
Houston Rockets,25.4,54.0,28.0,53,29,4.56,0.5,5.06,111.0,106.3,4.7,96.3,0.386,0.33,0.571,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,82,19830,39.2,83.0,0.472,9.8,27.4,0.358,29.4,55.6,0.529,22.8,32.0,0.712,11.6,35.1,46.7,22.1,7.8,5.8,16.6,21.1,111.0,2014
Portland Trail Blazers,25.8,54.0,28.0,52,30,3.99,0.45,4.44,111.5,107.4,4.1,94.9,0.27,0.29,0.548,0.504,12.4,28.0,0.22,0.488,10.9,74.7,0.194,82,19855,40.9,90.9,0.45,9.8,26.4,0.372,31.1,64.5,0.481,20.0,24.5,0.815,13.0,35.5,48.5,24.3,5.8,4.9,14.3,20.1,111.5,2014
Toronto Raptors,25.6,48.0,34.0,50,32,3.24,-0.69,2.55,108.8,105.3,3.5,91.8,0.306,0.285,0.545,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,82,19955,39.2,88.0,0.445,9.3,25.1,0.372,29.8,62.9,0.475,21.1,26.9,0.782,12.2,33.4,45.7,22.7,7.6,4.5,15.2,24.6,108.8,2014
Phoenix Suns,26.2,48.0,34.0,48,34,2.63,0.39,3.02,109.5,106.7,2.8,95.8,0.293,0.3,0.558,0.519,14.0,26.4,0.222,0.496,13.9,73.7,0.237,82,19755,40.2,86.8,0.463,9.7,26.1,0.372,30.5,60.8,0.503,19.3,25.4,0.758,11.8,33.0,44.8,19.8,8.7,4.7,16.0,22.8,109.5,2014
Minnesota Timberwolves,26.3,40.0,42.0,48,34,2.67,0.43,3.1,108.9,106.2,2.7,97.3,0.321,0.245,0.535,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177,82,19855,39.6,89.1,0.444,7.5,21.8,0.341,32.2,67.3,0.478,22.2,28.6,0.778,12.7,32.8,45.6,24.4,8.9,3.7,14.2,18.7,108.9,2014
Dallas Mavericks,30.6,49.0,33.0,48,34,2.4,0.5,2.91,111.2,108.7,2.5,93.5,0.253,0.274,0.564,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,82,19830,42.0,88.7,0.474,9.3,24.3,0.384,32.7,64.4,0.508,17.8,22.4,0.795,10.9,32.5,43.4,25.0,9.1,4.6,14.4,21.2,111.2,2014
