Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,DRB%,Def_FT/FGA,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
San Antonio Spurs,30.4,58.0,24.0,64,18,8.43,-0.08,8.35,109.2,99.9,9.3,89.8,0.313,0.247,0.561,0.521,13.6,24.2,0.235,0.471,14.0,75.7,0.201,82,19780,40.5,85.5,0.474,8.0,21.1,0.381,32.5,64.4,0.504,20.1,26.8,0.751,10.3,34.8,45.1,24.5,7.9,5.6,15.4,21.5,109.2,2007
Dallas Mavericks,28.1,67.0,15.0,61,21,7.22,0.06,7.28,111.3,103.2,8.1,89.5,0.317,0.218,0.559,0.509,13.4,28.7,0.256,0.477,14.2,75.0,0.265,82,19755,40.8,87.4,0.467,7.3,19.1,0.381,33.6,68.4,0.491,22.3,27.7,0.805,12.5,34.1,46.6,22.1,7.6,5.5,15.5,24.9,111.3,2007
Phoenix Suns,27.6,61.0,21.0,59,23,7.3,-0.03,7.28,113.9,106.4,7.5,95.6,0.267,0.287,0.59,0.551,13.4,22.7,0.215,0.492,13.6,71.9,0.206,82,19905,42.7,86.4,0.494,9.9,24.8,0.399,32.8,61.6,0.532,18.6,23.0,0.808,9.3,32.6,41.9,26.8,7.0,5.0,15.0,20.9,113.9,2007
Chicago Bulls,26.0,49.0,33.0,55,27,5.01,-0.49,4.52,104.9,99.6,5.3,93.6,0.313,0.186,0.534,0.493,14.7,28.6,0.229,0.473,16.2,74.3,0.252,82,19780,39.5,86.3,0.457,6.2,16.0,0.388,33.2,70.3,0.473,19.8,27.0,0.734,12.7,33.6,46.4,23.7,8.3,5.8,17.0,24.7,104.9,2007
Houston Rockets,28.2,52.0,30.0,55,27,4.85,0.19,5.04,106.0,100.7,5.3,90.7,0.292,0.29,0.54,0.499,13.6,25.7,0.22,0.466,13.6,77.0,0.23,82,19855,38.7,87.0,0.445,9.4,25.2,0.372,29.3,61.8,0.475,19.1,25.4,0.753,11.7,35.6,47.3,22.7,7.8,4.5,15.5,22.8,106.0,2007
Detroit Pistons,29.0,53.0,29.0,53,29,4.16,-0.47,3.69,108.9,104.2,4.7,87.3,0.307,0.201,0.535,0.488,12.0,28.3,0.237,0.477,14.3,70.9,0.234,82,19880,40.7,89.7,0.454,6.2,18.1,0.344,34.5,71.6,0.481,21.3,27.5,0.774,13.1,32.8,46.0,24.5,8.1,6.5,13.8,23.1,108.9,2007
Cleveland Cavaliers,26.9,50.0,32.0,52,30,3.83,-0.5,3.33,105.5,101.3,4.2,90.8,0.32,0.211,0.522,0.484,13.4,29.7,0.223,0.48,14.7,75.8,0.243,82,19880,39.6,88.5,0.447,6.6,18.7,0.352,33.0,69.9,0.473,19.7,28.4,0.696,13.8,33.6,47.4,22.7,8.3,4.7,15.6,23.7,105.5,2007
Utah Jazz,25.9,51.0,31.0,49,33,2.87,0.2,3.06,110.1,107.0,3.1,91.6,0.38,0.163,0.551,0.502,14.5,31.7,0.283,0.496,14.4,75.1,0.314,82,19805,40.6,85.6,0.474,4.7,14.0,0.335,35.9,71.6,0.501,24.2,32.6,0.743,13.6,32.5,46.1,26.8,7.6,4.5,16.9,27.3,110.1,2007
Denver Nuggets,26.5,45.0,37.0,45,37,1.62,0.07,1.69,107.6,105.9,1.7,97.4,0.36,0.212,0.548,0.501,14.6,28.9,0.268,0.499,14.5,71.8,0.203,82,19780,39.4,84.7,0.465,6.0,17.9,0.336,33.4,66.8,0.5,22.7,30.5,0.746,12.5,31.9,44.3,23.9,8.4,5.4,16.8,21.9,107.6,2007
Toronto Raptors,26.0,47.0,35.0,44,38,0.99,-0.38,0.61,107.0,106.0,1.0,92.6,0.303,0.224,0.55,0.504,13.0,22.2,0.239,0.503,14.3,74.5,0.219,82,19755,39.8,85.9,0.463,7.0,19.2,0.363,32.8,66.7,0.492,20.5,26.0,0.788,9.9,32.5,42.5,23.9,7.6,4.2,14.5,21.9,107.0,2007
Orlando Magic,25.6,40.0,42.0,43,39,0.78,-0.43,0.35,104.9,104.1,0.8,89.9,0.393,0.158,0.544,0.5,16.3,29.3,0.276,0.48,14.6,73.7,0.286,82,19780,38.8,82.2,0.472,4.6,13.0,0.356,34.2,69.2,0.494,22.7,32.3,0.702,12.4,32.7,45.1,20.6,7.6,5.6,18.8,25.7,104.9,2007
Los Angeles Lakers,25.3,42.0,40.0,41,41,-0.07,0.32,0.24,108.6,108.6,0.0,93.5,0.333,0.259,0.554,0.511,14.3,26.1,0.249,0.5,13.5,72.3,0.262,82,20030,39.7,85.4,0.466,7.8,22.1,0.353,32.0,63.3,0.505,21.3,28.5,0.747,11.3,32.0,43.3,23.7,7.7,5.4,16.3,24.2,108.6,2007
Golden State Warriors,24.6,42.0,40.0,40,42,-0.34,0.34,0.0,107.0,107.4,-0.4,99.2,0.3,0.279,0.548,0.512,14.1,25.6,0.215,0.506,16.1,69.6,0.264,82,19755,40.0,86.4,0.463,8.6,24.1,0.356,31.4,62.3,0.504,18.6,25.9,0.717,11.5,30.1,41.6,23.9,9.2,5.7,16.0,23.7,107.0,2007
Washington Wizards,26.8,41.0,41.0,40,42,-0.51,-0.28,-0.8,110.1,110.6,-0.5,94.1,0.356,0.237,0.542,0.491,12.6,28.1,0.272,0.517,14.4,71.0,0.249,82,19830,39.5,87.7,0.45,7.2,20.8,0.348,32.3,67.0,0.482,23.9,31.2,0.765,12.8,30.6,43.4,21.4,8.2,4.8,14.6,23.5,110.1,2007
Los Angeles Clippers,27.5,40.0,42.0,40,42,-0.46,0.39,-0.07,105.1,105.6,-0.5,90.8,0.355,0.143,0.537,0.481,14.5,27.2,0.28,0.488,13.3,74.7,0.249,82,19730,38.6,84.7,0.456,4.2,12.1,0.348,34.4,72.6,0.474,23.7,30.1,0.788,11.9,33.3,45.2,23.6,8.0,6.3,16.6,24.9,105.1,2007
New Jersey Nets,28.2,41.0,41.0,39,43,-0.77,-0.23,-1.0,105.7,106.6,-0.9,91.4,0.338,0.263,0.546,0.504,14.2,24.6,0.245,0.49,13.7,74.4,0.266,82,19880,38.5,84.3,0.457,8.0,22.1,0.363,30.4,62.1,0.49,20.7,28.5,0.727,10.9,33.4,44.2,25.9,6.6,3.6,16.0,24.7,105.7,2007
Miami Heat,29.3,44.0,38.0,38,44,-0.91,-0.29,-1.21,104.3,105.3,-1.0,89.9,0.321,0.245,0.541,0.506,14.3,24.9,0.222,0.485,13.8,73.3,0.232,82,19855,39.2,84.5,0.464,7.1,20.7,0.343,32.1,63.8,0.503,18.7,27.1,0.69,11.0,33.9,44.9,22.6,7.6,5.9,16.1,23.5,104.3,2007
New OrleansOklahoma City Hornets,26.4,39.0,43.0,36,46,-1.57,0.38,-1.19,104.8,106.5,-1.7,90.2,0.291,0.188,0.52,0.479,13.6,29.1,0.215,0.499,13.2,74.7,0.212,82,19880,39.8,89.3,0.445,6.1,16.8,0.362,33.7,72.5,0.464,19.2,26.0,0.74,13.7,33.6,47.3,20.6,7.0,4.6,15.9,21.7,104.8,2007
Sacramento Kings,27.3,33.0,49.0,36,46,-1.8,0.46,-1.35,106.2,108.0,-1.8,94.8,0.379,0.232,0.545,0.491,13.5,23.1,0.289,0.513,14.9,72.5,0.24,82,19805,37.6,83.5,0.45,6.8,19.3,0.35,30.8,64.2,0.48,24.2,31.6,0.765,10.2,30.6,40.8,21.3,8.6,3.4,15.3,22.9,106.2,2007
Indiana Pacers,27.2,35.0,47.0,34,48,-2.44,-0.18,-2.62,102.9,105.5,-2.6,92.4,0.324,0.212,0.523,0.474,15.1,28.4,0.246,0.491,14.8,72.7,0.271,82,19780,37.7,86.1,0.438,6.3,18.2,0.346,31.4,67.9,0.462,21.2,27.9,0.76,13.0,32.0,45.0,22.0,7.9,5.9,17.5,25.1,102.9,2007
Seattle SuperSonics,25.9,31.0,51.0,33,49,-2.89,0.45,-2.45,107.2,110.3,-3.1,91.8,0.288,0.219,0.544,0.499,14.5,27.8,0.228,0.515,14.1,70.9,0.243,82,19830,40.2,87.4,0.46,6.9,19.1,0.362,33.2,68.2,0.487,19.9,25.2,0.791,12.2,30.6,42.8,22.3,8.3,4.0,16.7,23.7,107.2,2007
New York Knicks,25.4,33.0,49.0,33,49,-2.85,-0.21,-3.06,105.7,108.8,-3.1,90.8,0.377,0.216,0.539,0.494,15.9,31.0,0.27,0.504,13.0,74.0,0.246,82,20005,38.4,84.0,0.457,6.3,18.1,0.346,32.1,65.9,0.487,22.7,31.7,0.715,13.6,33.3,46.9,20.3,7.2,3.4,18.6,25.5,105.7,2007
Philadelphia 76ers,26.2,35.0,47.0,32,50,-3.02,-0.23,-3.26,103.6,106.9,-3.3,90.7,0.333,0.128,0.53,0.48,14.6,27.2,0.255,0.501,14.7,70.8,0.221,82,19880,39.0,85.3,0.458,3.8,11.0,0.345,35.2,74.3,0.474,21.8,28.4,0.767,12.0,31.3,43.3,22.2,7.9,5.2,16.7,22.2,103.6,2007
Boston Celtics,23.5,24.0,58.0,31,51,-3.41,-0.29,-3.7,103.2,106.9,-3.7,92.0,0.337,0.199,0.53,0.479,15.4,27.0,0.259,0.502,14.5,73.8,0.28,82,19855,37.5,84.8,0.443,6.2,16.9,0.367,31.4,67.9,0.462,21.9,28.6,0.767,12.1,31.4,43.5,21.4,7.7,5.0,17.7,25.9,103.2,2007
Minnesota Timberwolves,27.7,32.0,50.0,30,52,-3.67,0.51,-3.16,103.9,107.9,-4.0,91.0,0.291,0.167,0.537,0.49,14.8,25.1,0.231,0.498,13.3,72.1,0.226,82,20005,39.5,85.8,0.461,5.1,14.4,0.353,34.5,71.4,0.483,19.8,25.0,0.792,10.8,32.6,43.4,24.4,7.0,4.3,16.9,23.2,103.9,2007
Charlotte Bobcats,25.5,33.0,49.0,30,52,-3.74,-0.22,-3.97,103.6,107.6,-4.0,92.0,0.322,0.193,0.524,0.48,13.9,26.4,0.236,0.5,14.7,71.6,0.279,82,20005,38.6,86.6,0.446,6.0,16.7,0.357,32.6,69.9,0.467,20.4,27.8,0.734,12.0,30.6,42.6,23.9,8.3,4.8,16.0,25.9,103.6,2007
Milwaukee Bucks,26.0,28.0,54.0,29,53,-4.38,-0.06,-4.43,107.0,111.7,-4.7,92.3,0.286,0.219,0.541,0.504,14.1,27.6,0.209,0.522,14.5,68.1,0.234,82,19855,40.9,87.9,0.465,6.9,19.3,0.356,34.0,68.6,0.495,18.4,25.1,0.733,12.3,29.7,42.1,23.2,7.7,2.9,16.2,23.8,107.0,2007
Portland Trail Blazers,24.4,32.0,50.0,29,53,-4.29,0.51,-3.78,105.1,109.9,-4.8,88.3,0.314,0.193,0.53,0.483,14.5,28.2,0.241,0.508,13.5,73.0,0.267,82,19955,39.1,87.0,0.45,5.8,16.8,0.346,33.3,70.3,0.474,21.0,27.3,0.769,12.6,31.3,43.9,20.6,7.6,5.2,16.8,26.3,105.1,2007
Atlanta Hawks,24.1,30.0,52.0,27,55,-4.76,-0.1,-4.86,103.0,108.3,-5.3,90.0,0.346,0.163,0.523,0.471,15.1,29.2,0.263,0.503,14.5,70.9,0.268,82,19880,38.0,85.5,0.444,4.6,13.9,0.329,33.4,71.6,0.467,22.5,29.6,0.761,13.1,31.0,44.1,21.1,8.2,6.0,17.5,26.4,103.0,2007
Memphis Grizzlies,26.2,22.0,60.0,27,55,-5.15,0.71,-4.44,106.9,112.3,-5.4,93.6,0.374,0.211,0.555,0.504,15.2,25.9,0.285,0.529,14.0,71.1,0.237,82,19980,38.5,82.7,0.465,6.4,17.5,0.367,32.1,65.3,0.491,23.5,30.9,0.761,11.1,30.5,41.6,21.6,7.2,5.2,17.2,23.4,106.9,2007
