Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,DRB%,Def_FT/FGA,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
San Antonio Spurs,28.5,59.0,23.0,63,19,7.8,0.03,7.84,107.5,98.8,8.7,88.9,0.329,0.216,0.534,0.492,13.2,29.1,0.238,0.452,14.7,73.6,0.236,82,19805,39.8,87.9,0.453,6.9,19.0,0.363,32.9,68.9,0.478,20.9,28.9,0.724,13.5,33.9,47.4,24.1,8.4,7.4,15.3,23.4,107.5,2005
Phoenix Suns,25.2,62.0,20.0,59,23,7.12,-0.04,7.08,114.5,107.1,7.4,95.9,0.296,0.289,0.571,0.534,12.4,27.5,0.222,0.478,12.0,68.3,0.176,82,19780,42.4,88.8,0.477,10.1,25.6,0.393,32.3,63.1,0.512,19.7,26.3,0.748,12.2,33.5,45.8,24.4,7.2,5.7,14.2,19.8,114.5,2005
Miami Heat,28.0,59.0,23.0,59,23,6.52,-0.76,5.77,110.2,103.1,7.1,90.8,0.387,0.198,0.559,0.524,13.1,27.0,0.26,0.46,12.4,74.1,0.242,82,19980,41.0,84.3,0.486,6.3,16.7,0.377,34.7,67.6,0.513,21.9,32.6,0.672,11.7,34.9,46.7,23.7,7.0,6.3,14.9,24.0,110.2,2005
Dallas Mavericks,27.7,58.0,24.0,57,25,5.74,0.11,5.86,110.3,104.1,6.2,92.7,0.346,0.19,0.545,0.492,12.5,28.6,0.273,0.472,14.3,70.2,0.239,82,19730,40.1,87.8,0.457,6.1,16.7,0.364,34.0,71.1,0.479,24.0,30.4,0.789,13.0,33.2,46.2,21.1,9.3,6.0,14.5,24.0,110.3,2005
Houston Rockets,29.7,51.0,31.0,53,29,4.04,0.23,4.27,106.2,101.7,4.5,88.8,0.309,0.237,0.534,0.486,13.5,26.3,0.242,0.459,12.9,74.5,0.245,82,19855,38.8,87.4,0.443,7.5,20.7,0.364,31.2,66.7,0.468,21.1,27.0,0.781,11.9,35.4,47.3,23.6,7.7,5.1,15.5,24.6,106.2,2005
Detroit Pistons,27.9,54.0,28.0,53,29,3.87,-0.55,3.31,105.6,101.2,4.4,87.2,0.335,0.164,0.519,0.472,13.3,31.2,0.247,0.461,13.5,73.0,0.207,82,19955,39.3,88.6,0.444,5.0,14.5,0.345,34.3,74.1,0.463,21.9,29.7,0.739,14.5,34.6,49.1,24.7,7.9,6.9,15.6,22.6,105.6,2005
Seattle SuperSonics,26.0,52.0,30.0,48,34,2.29,0.3,2.59,112.2,109.6,2.6,87.9,0.328,0.281,0.546,0.495,13.0,32.4,0.259,0.496,12.9,71.3,0.249,82,19755,39.8,89.8,0.444,9.2,25.2,0.365,30.6,64.6,0.474,23.3,29.5,0.79,14.4,31.9,46.3,20.6,7.6,4.7,15.4,26.9,112.2,2005
Memphis Grizzlies,26.3,45.0,37.0,48,34,2.29,0.34,2.64,105.5,102.9,2.6,88.5,0.323,0.237,0.535,0.489,14.3,27.1,0.243,0.466,15.4,69.9,0.27,82,19705,38.6,86.3,0.447,7.3,20.5,0.357,31.3,65.9,0.475,21.0,27.9,0.754,12.2,31.8,44.0,23.6,9.6,6.6,16.5,26.3,105.5,2005
Sacramento Kings,27.7,50.0,32.0,47,35,2.16,0.4,2.56,110.5,108.2,2.3,93.0,0.287,0.2,0.541,0.496,12.0,28.8,0.226,0.493,13.3,69.0,0.214,82,19855,41.6,90.7,0.459,6.8,18.1,0.374,34.8,72.5,0.48,20.5,26.0,0.787,13.3,31.9,45.2,26.0,8.8,4.1,13.9,21.9,110.5,2005
Denver Nuggets,26.7,49.0,33.0,47,35,2.02,0.2,2.23,106.0,103.9,2.1,93.5,0.35,0.142,0.535,0.483,13.8,28.4,0.267,0.482,15.1,71.7,0.247,82,19755,39.5,85.9,0.459,4.2,12.2,0.34,35.3,73.7,0.479,22.9,30.0,0.763,12.6,32.1,44.7,25.4,9.7,6.4,15.9,24.4,106.0,2005
Minnesota Timberwolves,29.0,44.0,38.0,45,37,1.45,0.28,1.73,108.2,106.6,1.6,89.1,0.275,0.173,0.534,0.489,12.7,28.6,0.219,0.472,11.2,71.4,0.208,82,19755,41.5,90.4,0.459,5.4,15.6,0.345,36.1,74.8,0.483,19.8,24.8,0.796,12.9,35.2,48.1,26.2,6.3,6.1,14.7,24.2,108.2,2005
Chicago Bulls,25.0,47.0,35.0,44,38,1.06,-0.41,0.65,101.4,100.3,1.1,92.4,0.311,0.217,0.517,0.471,15.5,28.4,0.233,0.454,14.4,72.6,0.262,82,19830,37.3,86.3,0.432,6.7,18.8,0.357,30.6,67.5,0.453,20.1,26.8,0.75,13.1,33.9,47.0,22.8,7.5,4.8,17.9,26.6,101.4,2005
Boston Celtics,27.1,45.0,37.0,43,39,0.87,-0.52,0.35,107.5,106.6,0.9,93.3,0.357,0.192,0.551,0.501,14.7,27.2,0.273,0.481,14.2,70.1,0.274,82,19880,39.4,84.3,0.468,5.7,16.2,0.349,33.8,68.1,0.496,23.0,30.1,0.764,11.8,31.6,43.3,23.4,8.6,5.5,16.8,25.9,107.5,2005
